Hai Bà Trưng,Thanh Xuân,Đống Đa,Hoàn Kiếm,Cầu Giấy,Diện tích ,Số phòng ngủ,Nội thất đầy đủ,Nội thất cơ bản,Giá thuê
1,0,0,0,0,120,2,1,0,45
1,0,0,0,0,53,1,0,1,9.5
1,0,0,0,0,80,2,1,0,14
1,0,0,0,0,110,3,0,1,17
1,0,0,0,0,150,4,1,0,23
1,0,0,0,0,190,5,1,0,33
1,0,0,0,0,45,1,0,1,9
1,0,0,0,0,45,1,1,0,11
1,0,0,0,0,45,2,0,1,11.5
1,0,0,0,0,45,2,1,0,13.5
1,0,0,0,0,100,3,0,1,12.5
1,0,0,0,0,100,3,1,0,16
1,0,0,0,0,123,3,1,0,19.5
1,0,0,0,0,140,4,0,1,19.5
1,0,0,0,0,140,4,1,0,23.5
0,1,0,0,0,55,1,1,0,15
0,1,0,0,0,75,2,0,1,15
0,1,0,0,0,110,3,1,0,25
0,1,0,0,0,154,4,0,1,30.5
0,1,0,0,0,105,3,1,0,20
0,1,0,0,0,113,3,1,0,24
0,1,0,0,0,30,1,0,1,5
0,1,0,0,0,74,2,1,0,12
0,1,0,0,0,144,3,1,0,35
0,1,0,0,0,140,3,1,0,18
0,1,0,0,0,137,3,1,0,19
0,1,0,0,0,180,3,1,0,30
0,1,0,0,0,40,1,0,1,5.5
0,1,0,0,0,55,1,1,0,14
0,1,0,0,0,86,2,1,0,12
0,1,0,0,0,120,3,1,0,15
0,1,0,0,0,86,2,1,0,14
0,0,1,0,0,53,1,0,1,15
0,0,1,0,0,86,2,1,0,23.5
0,0,1,0,0,114,3,0,1,23
0,0,1,0,0,114,3,1,0,28
0,0,1,0,0,167,4,0,1,32
0,0,1,0,0,50,1,0,1,10
0,0,1,0,0,50,1,1,0,12
0,0,1,0,0,170,4,1,0,42
0,0,1,0,0,145,3,1,0,27.5
0,0,1,0,0,80,2,1,0,22
0,0,1,0,0,50.5,1,1,0,17
0,0,1,0,0,90,2,1,0,22
0,0,1,0,0,90,2,1,0,19
0,0,1,0,0,146.5,3,1,0,26
0,0,1,0,0,90,2,1,0,20
0,0,1,0,0,55,1,1,0,15.5
0,0,0,1,0,46.7,1,1,0,20
0,0,0,1,0,100,2,1,0,20.5
0,0,0,1,0,60,1,1,0,14
0,0,0,1,0,70,2,1,0,14.5
0,0,0,1,0,55,1,0,1,11.5
0,0,0,1,0,90,2,0,1,13
0,0,0,1,0,90,2,1,0,15
0,0,0,1,0,130,2,0,1,20
0,0,0,1,0,130,2,1,0,23
0,0,0,1,0,110,2,1,0,22
0,0,0,1,0,102,2,1,0,21
0,0,0,1,0,35,1,0,1,7.5
0,0,0,1,0,74,2,1,0,13
0,0,0,1,0,101,2,1,0,22
0,0,0,1,0,67,2,1,0,30
0,0,0,1,0,52,1,1,0,24
0,0,0,0,1,52,2,0,1,12.5
0,0,0,0,1,52,2,1,0,16
0,0,0,0,1,60,2,0,1,15
0,0,0,0,1,60,2,1,0,17.5
0,0,0,0,1,76,2,1,0,20
0,0,0,0,1,95,3,1,0,25
0,0,0,0,1,48,1,0,1,13.5
0,0,0,0,1,50,1,1,0,15
0,0,0,0,1,67,2,0,1,14
0,0,0,0,1,80,2,1,0,20
0,0,0,0,1,62,2,1,0,16
0,0,0,0,1,75,2,0,1,15
0,0,0,0,1,75,2,1,0,19
0,0,0,0,1,105,3,0,1,18
0,0,0,0,1,105,3,1,0,23
0,0,0,0,1,110,3,1,0,26
